Rule,Criteria,Apply Facts,Trigger Functions,Trigger Rules,Query All Concept,Query Best Concept,Query Rand Best Concept,Query Old Best Concept,Options,Text
PA_05GenericDispatchFailure,concept: PA_05GenericDispatchResponse,,,,,,,,,Salvage teams find nothing of value.
,,,,,,,,,,
PA_06GenericOpenDialog,"concept: PA_JovianPortalResponse, player_in_FRONTIER_region: true",,openDialog: null,defaultApproachMessage,,gasSiphoningMessage,,,"Scout for salvage:PA_06GenericDispatch, Leave:PASoftLeave",An abandoned gas harvesting pinnace is detected in low orbit.
PA_06GenericDispatch,"concept: optionSelected, option: PA_06GenericDispatch",,,,,,PA_06GenericDispatchResponse,,Leave:PAHardLeave,
PA_06GenericDispatchSuccess,concept: PA_06GenericDispatchResponse,,addValueWithFlair: 5000,,,,,,,Salvage teams find data pertaining to the location of concentrated gas pockets deep in the atmosphere.
PA_06GenericDispatchFailure,concept: PA_06GenericDispatchResponse,,,,,,,,,Salvage teams find nothing of value.
,,,,,,,,,,
PA_07GenericOpenDialog,"concept: PA_TerranPortalResponse, player_in_ABYSS_region: true",,openDialog: null,defaultApproachMessage,,,,,"Investigate: PA_07GenericDispatch, Leave:PASoftLeave","A single canyon stretches three quarters of the way around its circumference. The canyons natural formation is technically plausible, however incredibly unlikely, and its geometry appears unnaturally sharp, with a near perfect ninety-degree angle between its valley and peaks."
PA_07GenericDispatch,"concept: optionSelected, option: PA_07GenericDispatch",,,,,,PA_07GenericDispatchResponse,,Leave:PAHardLeave,
PA_07GenericDispatchSuccess,concept: PA_07GenericDispatchResponse,,addValueWithFlair: 10000,,,,,,,"The canyon is mapped, and a ground sample is sheepishly retrieved from its lowest point - tampering is detected within it. The canyon was created by something, but the complete lack of any visible devices to permit such a terraforming project leaves its founders unknown."
PA_07GenericDispatchFailure,concept: PA_07GenericDispatchResponse,,,,,,,,,"The canyon is mapped, and a ground sample is sheepishly retrieved from its lowest point - no tampering is detected within it. Results are written but no final conclusion can be ascertained. "
,,,,,,,,,,
PA_08GenericOpenDialog,"concept: PA_JovianPortalResponse, player_in_ABYSS_region: true",,openDialog: null,defaultApproachMessage,,,,,"Investigate: PA_08GenericContinue, Leave:PASoftLeave","Several circular ‘holes’ are detected upon its atmosphere. They appear to displace all matter from the exosphere to the core - in doing so, they violate multiple universal constants. There is no observable device to explain their cause."
PA_08GenericContinue,"concept: optionSelected, option: PA_08GenericContinue",,addValueWithFlair: 10000,,,,,,Leave:PAHardLeave,The ‘holes’ are extensively logged. Nothing more can be done.
,,,,,,,,,,
PA_09GenericOpenDialog,"concept: PA_NeptunianPortalResponse, player_in_ABYSS_region: true",,openDialog: null,defaultApproachMessage,,,,,"Investigate:PA_09GenericDispatch, Leave:PASoftLeave","There is an unnaturally large storm within its atmosphere, just below the equator. It is hundreds of kilometres deep, with ferocious wind speeds and a diameter akin to the most gargantuan of storms on Jovian worlds."
PA_09GenericDispatch,"concept: optionSelected, option: PA_09GenericDispatch",,,,,,PA_09GenericDispatchResponse,,,
PA_09GenericDispatchSuccess,concept: PA_09GenericDispatchResponse,,addValueWithFlair: 10000,,,,,,Leave:PAHardLeave,"The storm appears to spin around a spherical device floating a hundred kilometres below the exosphere. No probe in your arsenal can reach the device amidst the extraordinary wind speed, so it is merely surveyed extensively."
PA_09GenericDispatchFailure,concept: PA_09GenericDispatchResponse,,addValueWithFlair: 2500,,,,,,Leave:PAHardLeave,The storm is determined to be a natural occurrence. It is logged extensively due to its rarity.
,,,,,,,,,,
PA_10GenericOpenDialog,"concept: PA_TerranPortalResponse, player_in_FRONTIER_region: true",,openDialog: null,defaultApproachMessage,,,,,"Scout for salvage:PA_10GenericDispatch, Leave:PASoftLeave",An abandoned research settlement is detected on its surface.
PA_10GenericDispatch,"concept: optionSelected, option: PA_10GenericDispatch",,,,,,PA_10GenericDispatchResponse,,,
PA_10GenericDispatchSuccess,concept: PA_10GenericDispatchResponse,,discoverRandomBodyWithFlair: null,,,,,,Leave:PAHardLeave,Salvage teams find databanks containing useful scan data of nearby phenomena.
PA_10GenericDispatchFailure,concept: PA_10GenericDispatchResponse,,,,,,,,Leave:PAHardLeave,Salvage teams find nothing of value.
,,,,,,,,,,
,,,,,,,,,,
PA_01ProbeGraveyard,"concept: PA_NeptunianPortalResponse, player_in_FRONTIER_region: true, PA_01ProbeGraveyardPREV: false",PA_01ProbeGraveyardPREV: true,openDialog: null,defaultApproachMessage,,,,,Continue:PA_01ProbeGraveyardContinueA,"Rather quickly, you are hailed by the senior LIDAR technician in a corner of the operations deck. "
PA_01ProbeGraveyardContinueA,"concept: optionSelected, option: PA_01ProbeGraveyardContinueA",,,,,,,,Order the structures to be identified:PA_01ProbeGraveyardContinueB,"The technician watches over the shoulder of a subordinate as you approach. He points a pen towards the juniors console and tries to find his words. ""There appears to be several high-speed structures orbiting within the upper atmosphere,"" he bluntly states. ""Never seen anything like it. We assumed they were false echoes, but that seems to not be the case."""
PA_01ProbeGraveyardContinueB,"concept: optionSelected, option: PA_01ProbeGraveyardContinueB",,,,,,,,Continue:PA_01ProbeGraveyardContinueC,"It takes ten minutes for a ring of scope and sensor technicians to identify each LIDAR blip. A report is soon handed to you - it suggests that a majority of the contacts are human-made probes, but that one is of unfamiliar design - elongated, ancient and sporting floatation devices, protruding beams and a bow-mounted heatshield. More alarmingly, it suggests that the wind speed is far higher than expected within the upper atmosphere. Although a conclusive story cannot be ascertained, it can be assumed that the unknown starship, and the probes, were inserted without prior knowledge of the wind speed, and became trapped in an endless dance through the clouds.  "
PA_01ProbeGraveyardContinueC,"concept: optionSelected, option: PA_01ProbeGraveyardContinueC",,,,,,,,"Dispatch a probe to add to the collection:PA_01ProbeGraveyardDispatch,Leave:PASoftLeave","Recovering the unknown starship is impossible, however a probe can be dispatched as homage to the incidents, with little expectation of a return on investment, or you can just leave the flying wrecks be."
PA_01ProbeGraveyardDispatch,"concept: optionSelected, option: PA_01ProbeGraveyardDispatch",,,,,PA_01ProbeGraveyardDispatchResponse,,,,
PA_01ProbeGraveyardDispatchSuccess,"concept: PA_01ProbeGraveyardDispatchResponse, RAND_50%: true",,addValueWithFlair: 2500,,,,,,Leave:PAHardLeave,"As expected, the probe dramatically changes course upon entering the mesosphere. The garbled transmissions it produces before going dark present compelling data on the giants topology."
PA_01ProbeGraveyardDispatchFailure,"concept: PA_01ProbeGraveyardDispatchResponse, RAND_50%: false",,,,,,,,Leave:PAHardLeave,"As expected, the probe dramatically changes course upon entering the mesosphere. The garbled transmissions it produces before going dark present little to no new information, yet its course ultimately coincides with the presumed story of the other probes."
,,,,,,,,,,
PA_02PlanetRCS,"concept: PA_TerranPortalResponse, player_in_ABYSS_region: true, PA_02PlanetRCSPREV: false",PA_02PlanetRCSPREV: true,openDialog: null,defaultApproachMessage,,,,,Order a closer analysis: PA_02PlanetRCSContinue,"It quickly becomes evident that the planet is covered in hundreds of evenly-spaced abnormalities. Preliminary LIDAR scans indicate that the anomalies are structures, approximately one hundred meters in length, width and height. "
PA_02PlanetRCSContinue,"concept: optionSelected, option: PA_02PlanetRCSContinue",,,,populatePA_02PlanetRCSOptions,,,,"Order an expedition: PA_02PlanetRCSDefaultExpedition, Leave:PASoftLeave","Higher quality scans depict the structures as loosely engine shaped, with the nozzle of each supposed-engine facing away from the planets core. You are informed by a junior analyst that the design of the 'engines' does not appear in any on-board records. Further analysis will require a team on-ground."
PA_02PlanetRCSJiyaOption,"concept: populatePA_02PlanetRCSOptions, player_CHIEF_ENGINEER_alive: true",,,,,,,,Order Chief Engineer Jiya to lead an expedition: PA_02PlanetRCSJiyaExpeditionA,
PA_02PlanetRCSDefaultExpedition,"concept: optionSelected, option: PA_02PlanetRCSDefaultExpedition",,addValueWithFlair: 2500,,,,,,Recall the expedition and leave:PAHardLeave,"A transport lands near one of the behemoth thrusters. An hour of documentation, which you oversee from the operations deck, confirms what was already suspected: it is indeed an engine. How the engine is fueled and powered, if applicable, would be impossible to ascertain without months of arduous excavation. It is not clear how the engine is activated. The absurdity of the discovery merely reflects the absurdity of abyss space."
PA_02PlanetRCSJiyaExpeditionA,"concept: optionSelected, option: PA_02PlanetRCSJiyaExpeditionA",,,,,,,,Ask Chief Engineer Jiya for her thoughts: PA_02PlanetRCSJiyaExpeditionB,"A transport lands near one of the behemoth thrusters. Documenting the 'engine' takes about an hour. You listen to the comms chatter from the operations deck, picking up several interesting facts - primarily, the 'engine' is indeed congruent in its construction with a normal starship thruster, and that it appears to have fuel and power lines which tunnel deep into the ground."
PA_02PlanetRCSJiyaExpeditionB,"concept: optionSelected, option: PA_02PlanetRCSJiyaExpeditionB",,,,,,,,Ask Chief Engineer Jiya for her opinion on what to do next: PA_02PlanetRCSJiyaExpeditionC,"""It's weird, $player_prefix."" Jiya speaks through garbled static. ""It's a planetary reaction control system, despite there being little benefit to moving a planet - 'least not in this way."" she says, elated. ""The thrusters are human make - twenty years old if I could eyeball it - but the thrust that they would produce could not beg to move billions of tonnes of rock. Either the newest universal constant defying engine which can move a planet looks exactly like an antique, or this is a very disfunctional planetary RCS system."""
PA_02PlanetRCSJiyaExpeditionC,"concept: optionSelected, option: PA_02PlanetRCSJiyaExpeditionC",,,,,,,,"Order Jiya to lead a salvage expedition - we need supplies:PA_02PlanetRCSJiyaSalvageDispatch, Heed her advice - recall the expedition and leave: PAHardLeave","""Take notes, pack up and leave. Messing with this kind of thing usually leads to disaster - makes no sense and explodes when you act like it follows your rules."" Jiya advises."
PA_02PlanetRCSJiyaSalvageDispatch,"concept: optionSelected, option: PA_02PlanetRCSJiyaSalvageDispatch",,,,,PA_02PlanetRCSJiyaSalvageResponse,,,,
PA_02PlanetRCSJiyaSalvageDispatchSuccess,"concept: PA_02PlanetRCSJiyaSalvageResponse, RAND_50%: true",,removeHullStressWithFlair: 35,,,,,,Leave:PAHardLeave,Jiya acknowledges with a sigh. Salvage teams are launched and several comms specialists are awoken to direct the frequent transport departures and arrivals. You oversee the several hour ordeal from near the communications console. Fuel lines are tapped and rare metals are extracted successfully from several of the behemoths. 
PA_02PlanetRCSJiyaSalvageDispatchFailure,"concept: PA_02PlanetRCSJiyaSalvageResponse, RAND_50%: false",,"removeHullStressWithFlair: 10, killCharacterWithFlair: CHIEF_ENGINEER",,,,,,Leave:PAHardLeave,"Jiya acknowledges with a sigh. In a four hour ordeal, salvage teams successfuly pick apart two of the behemoths - the third leads to disaster. Despite excessive safety procedures by Chief Engineer Jiya, an explosion propagated from the target - transpiring just after a tap was installed on the targets fuel line. Half of the salvage team, including Chief Engineer Jiya, are killed. Several salvage specialsits are injuired. A transport is lost. You order a recall. "
,,,,,,,,,,
PA_03TheResearcher,"concept: PA_TerranPortalResponse, player_in_CORE_region: true, planet_type: Iron, PA_03TheResearcherPREV: false",PA_03TheResearcherPREV: true,openDialog: null,defaultApproachMessage,,,,,Lead an away team:PA_03TheResearcherContinueA,"AIS automatically interrogates and identifies a ship upon the surface of the planet. The vessel is an exploration pinnace, and according to on-board databanks, has been marked as missing for thirty years. Your communications officer sends an oral landing request. The ship, surprisingly, transmits a green flag in response."
PA_03TheResearcherContinueA,"concept: optionSelected, option: PA_03TheResearcherContinueA",,,,,,,,Follow him: PA_03TheResearcherContinueB,"A contingent of officers, a unit of marines and yourself take a transport to the vessel. From the landing zone, it appears to be converted into a home of sorts, with scattered solar panels and hydroponics setups nearby. Two stakes draped in tarp, an attempt at a veranda, shadows it. A voice is heard from inside initially, but soon an old man clad in an ancient space suit is shouting from under the veranda. “Visitors - I can’t believe it!” he yells, giddy with excitement. “Please, come inside.”"
PA_03TheResearcherContinueB,"concept: optionSelected, option: PA_03TheResearcherContinueB",,,,,,,,Ask why he's here: PA_03TheResearcherContinueC,"The space inside the vessel is cluttered and grotty - clothes, nondescript containers and electrical hazards plague every surface besides a shoddy dining table, which he ushers you and your senior officers towards. He serves home grown vegetables with survival rations, tipping several piles of filth in the process. All of your senior staff appear uncomfortable. When he’s finally seated, you only have one question to ask."
PA_03TheResearcherContinueC,"concept: optionSelected, option: PA_03TheResearcherContinueC",,,,,,,,Ask to see the cave: PA_03TheResearcherContinueD,"Momentarily, he appears flabbergasted. “Why, I’m documenting the life!” he proclaims. “There are small bastions of simple life in a cave around here.” You recall that preliminary scans of the planet suggested that life would be impossible. He goes on to enchantedly describe its composition and characteristics, giving the impression of a simple, bacteria-analogue life-form."
PA_03TheResearcherContinueD,"concept: optionSelected, option: PA_03TheResearcherContinueD",,,,populatePA_03TheResearcherOptions,,,,,"The old man is ecstatic - almost too ecstatic - in response to your request. He topples several additional piles of grime while clearing his dining table, then leads your people half a kilometer on foot to an unassuming hole in the ground. By the time you arrive, his voice has changed tone dramatically. A shell of the enlivened man from earlier, he complains about his ankle, wishes you good luck, and strolls back towards his home. The seismic tests you promptly order show that the cave is stable."
PA_03TheResearcherFebrisOption,"concept: populatePA_03TheResearcherOptions, player_MEDICAL_OFFICER_alive: true",,,,,,,,Order Medical Officer Febris to explore the cave: PA_03TheResearcherFebrisCave,
PA_03TheResearcherJuniorOfficerOption,concept: populatePA_03TheResearcherOptions,,,,,,,,Order a Junior Officer to explore the cave: PA_03TheResearcherJuniorOfficerCave,
PA_03TheResearcherFebrisCave,"concept: optionSelected, option: PA_03TheResearcherFebrisCave",,,,,,PA_03TheResearcherFebrisCaveDispatchResponse,,,
PA_03TheResearcherFebrisCaveDispatchSuccess,concept: PA_03TheResearcherFebrisCaveDispatchResponse,,addValueWithFlair: 25000,,,,,,Order a recall:PA_03TheResearcherReturnSuccess,"You watch Febris' progress on your heads-up-display. She travels through several large caverns, and the passageways between them, before finding an intricate pattern upon a rock face with the consistency of chalk - a simple, bacteria-analogue life-form. Despite all odds on a dead world, with next to none of the prerequisite building blocks, life found a way to exist - or was made to exist. The pattern, you decide, is beautiful. Febris moves to take a sample. "
PA_03TheResearcherFebrisCaveDispatchFailure,concept: PA_03TheResearcherFebrisCaveDispatchResponse,,"addValueWithFlair: 5000, killCharacterWithFlair: MEDICAL_OFFICER",,,,,,Order a recall:PA_03TheResearcherReturnFailure,"You watch Febris' progress on your heads-up-display. She travels through several large caverns, and the passageways between them, before finding an intricate pattern upon a rock face with the consistency of chalk - a simple, bacteria-analogue life-form. Despite all odds on a dead world, with next to none of the prerequisite building blocks, life found a way to exist - or was made to exist. The pattern, you decide, is beautiful. Febris moves to take a sample, but a distant resonance and then a low rumble starts as she approaches. You watch in horror as she begins sprinting for the passageway towards the surface. Dust falls around her. Her signal is severed."
PA_03TheResearcherJuniorOfficerCave,"concept: optionSelected, option: PA_03TheResearcherJuniorOfficerCave",,,,,,PA_03TheResearcherJuniorOfficerCaveDispatchResponse,,,
PA_03TheResearcherJuniorOfficerCaveDispatchSuccess,concept: PA_03TheResearcherJuniorOfficerCaveDispatchResponse,,addValueWithFlair: 5000,,,,,,Order a recall:PA_03TheResearcherReturnSuccess,"You watch the Junior Officers progress on your heads-up-display. They travel through several large caverns, and the passageways between them, before finding an intricate pattern upon a rock face with the consistency of chalk - a simple, bacteria-analogue life-form. Despite all odds on a dead world, with next to none of the prerequisite building blocks, life found a way to exist - or was made to exist. The pattern, you decide, is beautiful. They move to take a sample."
PA_03TheResearcherJuniorOfficerCaveDispatchFailure,concept: PA_03TheResearcherJuniorOfficerCaveDispatchResponse,,"addValueWithFlair: 2500, removeMoraleWithFlair: 10",,,,,,Order a recall:PA_03TheResearcherReturnFailure,"You watch the Junior Officers progress on your heads-up-display. They travel through several large caverns, and the passageways between them, before finding an intricate pattern upon a rock face with the consistency of chalk - a simple, bacteria-analogue life-form. Despite all odds on a dead world, with next to none of the prerequisite building blocks, life found a way to exist - or was made to exist. The pattern, you decide, is beautiful. They move to take a sample, but a distant resonance and then a low rumble starts on approach. You watch in horror as your Junior Officer begins sprinting for the passageway towards the surface. Dust falls around them. Their signal is severed."
PA_03TheResearcherReturnSuccess,"concept: optionSelected, option: PA_03TheResearcherReturnSuccess",,,,,,,,Return to the transport: PA_03TheResearcherLeave,"The sample is secured, and your people return to the vessel. You find the old man sitting under the veranda. You talk legal, asking whether an examination of the sample you aquired may be published. It quickly becomes obvious that the man wants nothing more than to share his planet with others; you promise that he will have visitors from research craft in the near future."
PA_03TheResearcherReturnFailure,"concept: optionSelected, option: PA_03TheResearcherReturnFailure",,,,,,,,"Have the old man eliminated - he is obviously responsible: PA_03TheResearcherEliminate, Return to the transport: PA_03TheResearcherLeave","With measured calmness, you ask the marine in charge of the seismic scan to double-check the legitimacy of its results. As soon as human error is ruled out, you trek back to the vessel to confront the old man. You find him sitting under the veranda. You explain the situation, ending with a comment about the unusual resonance prior to the cave-in. He is, or acts, unaffiliated with the event."
PA_03TheResearcherEliminate,"concept: optionSelected, option: PA_03TheResearcherEliminate",,"addValueWithFlair: 2500, removeMoraleWithFlair: 10, increaseSecurityOfficerStanding: 25, playSoundEffect: dialogue_gunshot.wav",,,,,,Return to the transport: PA_03TheResearcherLeave,You discretely signal for your marine escort to kill him. They nod nonchalantly and drag the man away while he flails hopelessly.
PA_03TheResearcherLeave,"concept: optionSelected, option: PA_03TheResearcherLeave",,,,,,,,Leave: PAHardLeave,"You return to the landing zone. Following fifteen minutes of delays and comm chatter, the transport takes off on an interception course with your starship."
,,,,,,,,,,
PA_04HollowGiant,"concept: PA_JovianPortalResponse, player_in_ABYSS_region: true, PA_04HollowGiantPREV: false",PA_04HollowGiantPREV: true,openDialog: null,defaultApproachMessage,,,,,Dispatch a probe: PA_04HollowGiantContinueA,(UNFINISHED EVENT) intro message
PA_04HollowGiantContinueA,"concept: optionSelected, option: PA_04HollowGiantContinueA",,setImage: PA_04_missing_core.png,,,,,"PA_04HollowGiantContinueATryRuiFlair, PA_04HollowGiantContinueAFlairOption",,(UNFINISHED EVENT) probe dispatch message and discovery
PA_04HollowGiantContinueARuiFlair,"concept: PA_04HollowGiantContinueATryRuiFlair, player_FIRST_OFFICER_alive: true",,,,,,,,,(UNFINISHED EVENT) first officer rui theorises what the forcefield is for
PA_04HollowGiantContinueAFlairOptionDefault,concept: PA_04HollowGiantContinueAFlairOption,,addValueWithFlair: 2500,,,,,,Leave:PAHardLeave,(UNFINISHED EVENT) there is no sufficiently skilled person aboard to lead a mission down to the core
PA_04HollowGiantContinueAFlairOptionJiya,"concept: PA_04HollowGiantContinueAFlairOption, player_CHIEF_ENGINEER_alive: true",,,,,,,,"Order Chief Engineer Jiya to lead an expedition: PA_04HollowGiantJiyaExpeditionA, Leave: PAHardLeave",(UNFINISHED EVENT) chief engineer jiya can lead an expedition down to the core
PA_04HollowGiantJiyaExpeditionA,"concept: optionSelected, option: PA_04HollowGiantJiyaExpeditionA",,,,,,,,Order a closer analysis of the light: PA_04HollowGiantJiyaExpeditionB,(UNFINISHED EVENT) expedition gets through clouds into forcefield
PA_04HollowGiantJiyaExpeditionB,"concept: optionSelected, option: PA_04HollowGiantJiyaExpeditionB",,,,,,PA_04HollowGiantJiyaExpeditionBDispatchResponse,,,
PA_04HollowGiantJiyaExpeditionBDispatchSuccess,concept: PA_04HollowGiantJiyaExpeditionBDispatchResponse,,addValueWithFlair: 25000,,,,,,Order a recall: PA_04HollowGiantLeave,(UNFINISHED EVENT) find great data of the forcefield projector thingamabob
PA_04HollowGiantJiyaExpeditionBDispatchFailure,concept: PA_04HollowGiantJiyaExpeditionBDispatchResponse,,"addValueWithFlair: 5000, killCharacterWithFlair: CHIEF_ENGINEER",,,,,,Regroup: PA_04HollowGiantLeave,(UNFINISHED EVENT) accidently touch it and BOOM entire planet collapse
PA_04HollowGiantLeave,"concept: optionSelected, option: PA_04HollowGiantLeave",,,,,,,,Leave: PAHardLeave,(UNFINISHED EVENT) leaving message
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
#space anomalies,,,,,,,,,,
SAHardLeave,"concept: optionSelected, option: SAHardLeave",,closeDialog: HARD_LEAVE,,,,,,,
SASoftLeave,"concept: optionSelected, option: SASoftLeave",,closeDialog: SOFT_LEAVE,,,,,,,
,,,,,,,,,,
SAApproachMessage,concept: SAApproachMessage,,,,,,,,,Your ship approaches the location of a stable point in space.
SA_Portal,"concept: followingBody, type: SPACE_ANOMALY, space_anomaly_available: true",,,,,,SA_PortalResponse,,,
,,,,,,,,,,
SA_StationGenericOpenDialog,"concept: SA_PortalResponse, player_in_CORE_or_FRONTIER_region: true",,openDialog: null,SAApproachMessage,,,,,"Request Docking Access: SA_StationGenericDockingAccess, Leave:SASoftLeave","An outpost, missing from native starcharts, is detected. You recall that profits at such bases are usually lower than official counterparts. Communications are quickly established."
SA_StationGenericDockingAccess,"concept: optionSelected, option: SA_StationGenericDockingAccess",,closeDialog: HARD_LEAVE_STATION_OVERRIDE,,,,,,,
,,,,,,,,,,
SA_RepairGenericOpenDialog,"concept: SA_PortalResponse, player_in_ANY_region: true",,openDialog: null,SAApproachMessage,,,,,"Program the nanites for repair: SA_RepairGenericDispatch, Leave: SASoftLeave","Sensors detect an abandoned nanite cache, with an integrated nanite controller, in low orbit."
SA_RepairGenericDispatch,"concept: optionSelected, option: SA_RepairGenericDispatch",,,,,,SA_RepairGenericDispatchResponse,,,
SA_RepairGenericDispatchSuccess,concept: SA_RepairGenericDispatchResponse,,removeHullStressWithFlair: 15,,,,,,Leave:SAHardLeave,The nanites successfully repair your starship.
SA_RepairGenericDispatchFailure,concept: SA_RepairGenericDispatchResponse,,,,,,,,Leave:SAHardLeave,The nanites malfunction and shutdown before repairs can be made.
,,,,,,,,,,
SA_01GenericOpenDialog,"concept: SA_PortalResponse, player_in_ANY_region: true",,openDialog: null,SAApproachMessage,,,,,"Investigate: SA_01GenericContinue, Leave:SASoftLeave",Analysts mark an inconsistent LIDAR return.
SA_01GenericContinue,"concept: optionSelected, option: SA_01GenericContinue",,,,,,,,Leave:SAHardLeave,"Upon further analysis and several additional pings, it becomes clear that the inconsistent return was merely a false echo."
,,,,,,,,,,
SA_02GenericOpenDialog,"concept: SA_PortalResponse, player_in_FRONTIER_region: true",,openDialog: null,SAApproachMessage,,,,,"Scout for salvage:SA_02GenericDispatch, Leave:SASoftLeave",An abandoned research outpost is detected.
SA_02GenericDispatch,"concept: optionSelected, option: SA_02GenericDispatch",,,,,,SA_02GenericDispatchResponse,,,
SA_02GenericDispatchSuccess,concept: SA_02GenericDispatchResponse,,discoverRandomBodyWithFlair: null,,,,,,Leave:SAHardLeave,Salvage teams find databanks containing useful scan data of nearby phenomena.
SA_02GenericDispatchFailure,concept: SA_02GenericDispatchResponse,,,,,,,,Leave:SAHardLeave,Salvage teams find nothing of value.
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
# special anomalies and special systems,,,,,,,,,,
SpA_SentientAsteroidTheorised,"concept: theorisedBody, type: CUSTOM, custom_tag: SpA_SentientAsteroid",,openDialog: null,,,,,,Go to flank speed: defaultLeave,"(UNFINISHED EVENT) Called over by staff on bridge as a contact confirmed (theorised) in the last scan is moving via some kind of propulsion system, despite being an asteroid. Decide to chase it down. Message should be written so the player assumes that they have to FOLLOW the contact, rather than orbit it. ""We need to get very close"""
SpA_SentientAsteroidFollowing,"concept: followingBody, type: CUSTOM, custom_tag: SpA_SentientAsteroid, custom_available: true",,openDialog: null,,populateSpA_SentientAsteroidOptions,,,,"Collect telemetry data from afar: SpA_SentientAsteroidDefaultExpedition, Leave: defaultSoftLeave","(UNFINISHED EVENT) Get close to the asteroid. Deliberate as to whether to let it be or to send someone sufficienciently qualified (if available) over to get a sample. ""If someone sufficiently qualified was on the ship..."""
SpA_SentientAsteroidFebrisExpeditionOption,"concept: populateSpA_SentientAsteroidOptions, player_MEDICAL_OFFICER_alive: true",,,,,,,,Order Febris to lead an expedition - we need a surface sample: SpA_SentientAsteroidFebrisExpedition,
SpA_SentientAsteroidFebrisExpedition,"concept: optionSelected, option: SpA_SentientAsteroidFebrisExpedition",,,,,,SpA_SentientAsteroidFebrisExpeditionDispatchResponse,,,
SpA_SentientAsteroidFebrisExpeditionResponseSuccess,concept: SpA_SentientAsteroidFebrisExpeditionDispatchResponse,,addValueWithFlair: 25000,,,,,,Leave: defaultHardLeave,(UNFINISHED EVENT) Febris successfully extracts a sample from the asteroid. You order a recall.
SpA_SentientAsteroidFebrisExpeditionResponseFailure,concept: SpA_SentientAsteroidFebrisExpeditionDispatchResponse,,"addValueWithFlair: 5000, killCharacterWithFlair: MEDICAL_OFFICER",,,,,,Leave: defaultHardLeave,(UNFINISHED EVENT) Febris dies. You order a recall.
SpA_SentientAsteroidDefaultExpedition,"concept: optionSelected, option: SpA_SentientAsteroidDefaultExpedition",,addValueWithFlair: 2500,,,,,,Leave: defaultHardLeave,(UNFINISHED EVENT) default expedition
,,,,,,,,,,
enteringSystemMessage,concept: enteringSystemMessage,,,,,,,,,Your ship enters the system.
enteringSystemVoid,"concept: enteringSystem, special_system_classification: VOID",,openDialog: null,enteringSystemMessage,,,,,Proceed cautiously: defaultLeave,"As transit is completed, you are flagged by the senior LIDAR technician. He explains that the display is ‘suspiciously clear’ - there are no asteroids, no dust, no particles, no cosmic whirlwinds of material floating through the empty within the new star system. Matter is ejected from its host star normally, yet the residue produced suggests that the star did not exist a mere five minutes prior. The host star, and its three wormholes, stand as survivors to some great voiding, or newborns to some great creation."
enteringSystemCME,"concept: enteringSystem, system_hazard_classification: CORONAL_MASS_EJECTION, enteringSystemCME_PREV: false",enteringSystemCME_PREV: true,openDialog: null,enteringSystemMessage,,,,,Proceed hastily: defaultLeave,"A post-transit checklist reveals that the primary star in-system is highly unstable. Closer observation depicts the telltale signs of an upcoming coronal mass ejection: a localized decrease in high-energy EM emissions, the presence of eruptive prominences and an uptick in solar flares. As EUV wave outflow begins to rise, navigation gets to work calculating the time permitted before the next ejection - you resign yourself to the fact that your ship will suffer damage to its electrical grid if not elsewhere by the initial acceleration."
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
# tutorials,,,,,,,,,,
tutorialPlayerStart,concept: tutorialPlayerStart,"tutorialPreludeOrbitingPREV: false, tutorialIngressOrbitingPREV: false","openDialog: null, _TUTORIALSetIngressOverride: true, _TUTORIALSetOmissionOverride: true",,,,,,Continue:tutorialPlayerStartContinueA,"A voice crackles within your earpiece. “Okay. My name is Dawn; I will be supervising this session. Is that understood?” You acknowledge, and the voice continues. “Good. You've been briefed on the mission - get it done.”"
tutorialPlayerStartContinueA,"concept: optionSelected, option: tutorialPlayerStartContinueA",,,,,,,,Continue:tutorialPlayerStartContinueB,"1)[i] Test the central board: W, A, S and D to move the camera, Q or E (or scroll) to zoom the camera in or out. The red sphere is a M-class star, the white square is your starship. [/i]"
tutorialPlayerStartContinueB,"concept: optionSelected, option: tutorialPlayerStartContinueB",,setImage: tutorial_LIDAR_example.png,,,,,,Exit:defaultLeave,"2)[i] Mark a body by pinging it three times: Refer to the LIDAR module in the lower right of the interface - adjust the scan direction so it points towards the star by left clicking, set the arc to its maximum with the slider, and press the ‘PING’ button. [/i]"
,,,,,,,,,,
tutorialPreludeTheorised,"concept: theorisedBody, type: PLANET, name: Prelude, tutorial: true",,openDialog: null,,,,,,Continue:tutorialPreludeTheorisedContinueA,You watch over the shoulder of your mock senior analyst as they report the third bounce-back. Their composure is a desperate attempt of professional under the bizarreness of the simulation room. Distinctly cadet. 
tutorialPreludeTheorisedContinueA,"concept: optionSelected, option: tutorialPreludeTheorisedContinueA",,setImage: tutorial_orbit_example.png,,,,,,Continue:tutorialPreludeTheorisedContinueB,"1)[i] Discover a body by visually acquiring it: Click on the marked body (the triple question mark) on the system list to lock, and then press the orbit button in the lower left of the interface. Hover over buttons to bring up their tooltip. [/i]"
